content,keyword,time
演艺事业和爱情故事都有涉及，里面的戏中戏挺用心。到中期时有些人设崩了，最后算是圆回来了。总体来说看了不后悔。,云巅之上2,2017-04-03
的确很low，不过雷剧可以看看,云巅之上2,2017-03-04
感觉陈晓挺帅的啊，演技也还行，怎么感觉资源不怎么好呢,云巅之上2,2017-03-25
原来，在编剧的眼里，成年人世界里，而且还是娱乐圈里的争名逐利就跟小孩子过家家一样，而且一部讲演员演技的电视剧居然全程配音，也不知道是什么样的出发点和心态。又一次因为很多人的吹捧踩雷了。,云巅之上2,2017-04-01
突然就冲着陈晓看了，过程中发现33的演技突然有了突破，戏中戏演的很好啊！应该可以为之前的被黑洗白了吧！,云巅之上2,2017-05-29
不说别的，单从题材、立意和现实度上来讲，就已经碾压大部分的国产偶像剧了。看起来有点日本少女漫的感觉。已经很久没有看到鼓励年轻人拼搏奋斗的偶像剧了，给个鼓励的5分。,云巅之上2,2017-03-02
于妈的剧难得啊，陈晓男主的人设好喜欢，演的也好玩，袁姗姗现代装好看，镜花缘里的造型也好看，其他古装民国装就那样吧，蔡文静不错,云巅之上2,2017-03-02
特意来评分，以前对陈晓无感，但真的很喜欢他这个角色。我不知道为什么这部剧总能戳到我心里最脆弱的地方，让我哭了好多次。ps：竟然才知道左左的扮演者演过不良人，只想说好不好看全看造型啊。更新：看完大结局了，感觉烂尾了。第二季剧情太拖沓，对老师部分的描写太多。导致男一变成了男二的既视感,云巅之上2,2017-03-11
说实在的 这部剧在讲一个没有资源的女孩追求自己的演员梦 但是竟然还找配音 口型都对不齐…还是卖煎饼吧……还有郭晓冬的造型！实在无法认同 干净质朴的熟男气质全毁了,云巅之上2,2017-03-28
配音好尴尬啊，于妈如果选择爆料那还有看点！！！,云巅之上2,2017-03-04
于妈呀，你这么喜欢yss么！！,云巅之上2,2017-03-04
两天居然一整季看完了，还被忽悠成会员，陈晓的角色人设灰常讨好。第二季看完，勉强6分。后15集剧情太拖沓，没有松紧主次，一塌糊涂。。强行结局。作为观众，最后只能快进只看唐斐，over,云巅之上2,2017-03-03
"云巅之上1看完了，2也快看完了，虽然狗血，但还是很喜欢！
为了梦想不放弃的人会得到成功的",云巅之上2,2017-03-31
就是第一集有点脑残狗血，看到后面就被剧情吸引了，虽然袁姗姗的人设很白莲而且动不动就跟陌生人说自己的生世有多惨，但是演技挺好的，在里面她演的恶毒的皇后真是让人毛骨悚然，然后就是陈晓简直太帅了，在里面说的话好现实也很有道理，一直鞭策女主让她进步坚持，期待第二季,云巅之上2,2017-03-09
虽然配角涉及到了一些黑幕，但主线还是好正能量啊，演技好人品好大家就都喜欢就会成功。现在的演艺圈真的是这样吗？,云巅之上2,2017-06-23
垃圾,云巅之上2,2017-08-23
于妈出品必属烂剧,云巅之上2,2017-03-07
三天看完。题材新颖 胜在写实有趣。就是我很烦里面很多人的咆哮式演技反而更喜欢蒋梦婕比较收敛的演法人又好看哈哈哈哈哈。唐斐真的很好笑2333感觉那个沈嫣长得像低配版赵丽颖 坏得可以倒让我觉得左左不那么讨厌了。,云巅之上2,2017-04-02
戏中戏，挺想看里面的戏,云巅之上2,2017-05-13
一个不要女儿的缺德恶心妈，一对欢喜冤家!再配上点潜规则，就说娱乐圈，于正也就这么个套路了!女主一贯的傻白甜！主角光环闪瞎你的眼！号称揭露娱乐圈的秘密！你信一个傻白甜处处得罪人，任性就因为单纯杀出一片天！如果没有胆量拍就别戴高帽！不过于正这狗血套路的确有人买账！,云巅之上2,2017-03-07
陈晓好苏！！以后不要再拍于正的片子了,云巅之上2,2017-05-14
題材很有噱頭，可惜沒有拍好！陳曉很適合這類型的角色設定，袁珊珊比之前有進步了。,云巅之上2,2017-03-01
陈晓帅可以弥补一切尴尬.....,云巅之上2,2017-12-09
可以说是很无趣了，不知道自己怎么追完的，佩服自己,云巅之上2,2017-03-13
